id,point,time,sim_obs
0,0,120,1.363835167144952
0,0,121,1.466182214737202
0,0,122,1.8045292815106915
0,0,125.99,2.4906913479057406
0,0,129,2.554795954870937
0,0,132,2.4144469961755792
0,0,143.98,1.3555384682946046
0,1,120,3.4753773887764923
0,1,121,3.9161643442619725
0,1,122,4.823341765121035
0,1,125.99,6.495732047484711
0,1,129,6.5347003794439615
0,1,132,6.094260605460672
0,1,143.98,3.457117658653643
1,0,120,1.363835167144952
1,0,120.98,1.466182214737202
1,0,121.98,1.8045292815106915
1,0,126,2.4976121622821417
1,0,129.02,2.5526230144200994
1,0,132.02,2.4076414354382996
1,0,144,1.3472322777838346
1,1,120,3.4753773887764923
1,1,120.98,3.9161643442619725
1,1,121.98,4.823341765121035
1,1,126,6.509276071646356
1,1,129.02,6.525623628898005
1,1,132.02,6.07504573638626
1,1,144,3.4376430072422655
2,0,120.08,1.3061333168871947
2,0,121.07,1.6792277897027936
2,0,122.08,1.9944087055436028
2,0,126.08,2.531302018607936
2,0,129.05,2.53869722381311
2,0,132.1,2.364723986484883
2,0,144.08,1.298054160420481
2,1,120.08,3.359307238924881
2,1,121.07,4.401991639670522
2,1,122.08,5.252261168450066
2,1,126.08,6.562351781283935
2,1,129.05,6.4845654885768225
2,1,132.1,5.976009842671029
2,1,144.08,3.3414847653560216
3,0,120,1.363835167144952
3,0,121,1.466182214737202
3,0,122.02,1.8338838179049524
3,0,126,2.4976121622821417
3,0,129.03,2.5526230144200994
3,0,132,2.4076414354382996
3,0,144.02,1.338957139963796
3,1,120,3.4753773887764923
3,1,121,3.9161643442619725
3,1,122.02,4.900411601872434
3,1,126,6.509276071646356
3,1,129.03,6.525623628898005
3,1,132,6.07504573638626
3,1,144.02,3.418249085387655
4,0,120,1.363835167144952
4,0,121,1.466182214737202
4,0,122,1.8045292815106915
4,0,126,2.4906913479057406
4,0,129.02,2.554795954870937
4,0,132,2.4144469961755792
4,0,144,1.3555384682946046
4,1,120,3.4753773887764923
4,1,121,3.9161643442619725
4,1,122,4.823341765121035
4,1,126,6.495732047484711
