ke0,kcp,kpc,v0,ske,svol,prob
0.4919071611881256,4.517071261305808,3.980550707409382,8.283652684688567,0.01,0.01,0.05057023754462225
2.3583261022806172,1.378588701448446,0.1434271729660035,1.73443175792694,0.01,0.01,0.04775427209169242
0.13404469348907472,5.4771722175788895,0.07293587997913376,22.792412855625155,0.01,0.01,0.03846153700481809
3.388132504451275,5.312989809911251,1.4279233186125757,0.4940136432647705,0.01,0.01,0.04999291839258038
0.4717677505612373,5.03342723405838,3.32967368900299,13.432777564525605,0.01,0.01,0.04349573152123611
2.505784090561867,1.6836612795734458,0.2572933253097535,1.77333800792694,0.01,0.01,0.03787484517698953
0.31085809745788573,5.0208958714437495,0.6065415874838829,21.205769722461703,0.01,0.01,0.04810514882965875
0.36172845225334166,1.6898901139593108,0.1738438619327547,20.358721127510076,0.01,0.01,0.03001902329642088
1.4120559655618672,1.1777134475421938,0.11764615734100348,1.6177130079269395,0.01,0.01,0.03629421166142697
0.6005487585306168,5.4992169045734345,0.24440281749725343,2.930798945426941,0.01,0.01,0.0265250808541246
1.4569769421243677,1.4355212600422156,0.09401355968475344,2.7800372266769404,0.01,0.01,0.02809589320589236
0.3669096611881256,4.311899210524558,3.928988676159382,8.312832372188568,0.01,0.01,0.02616481652046797
0.2832949575924873,5.39435817155838,2.8419828100967406,14.0990470957756,0.01,0.01,0.02821493167796241
0.1965434434890747,5.4793206160163885,1.6713588487291338,23.881787855625152,0.01,0.01,0.06073320656609646
0.7836350682735443,2.6516082698130607,0.4002913644194603,9.273281145095824,0.01,0.01,0.02338077734503445
0.4717677505612373,5.49748129655838,1.6044940600967408,23.67484787702561,0.01,0.01,0.02144943121678372
0.1677055049777031,1.9065665341567992,6.290862407975197,10.15626767873764,0.01,0.01,0.01923849622344514
0.36172845225334166,4.183106500678062,0.1738438619327547,17.178135190010067,0.01,0.01,0.01971267144807703
2.9745247155618673,1.5676477639484456,0.1283882471847535,1.73929503917694,0.01,0.01,0.0192169405469265
1.362095517075062,1.9038957224273685,1.6824720337176324,7.077053134441375,0.01,0.01,0.01907791122684651
0.1965434434890747,2.5209759675788876,0.34793337997913376,24.163858168125156,0.01,0.01,0.02202098210517004
0.21021504505157468,2.0902220808601353,0.21687988388538376,24.976026136875163,0.01,0.01,0.02754018621999732
0.47567392243623735,5.49962969499588,3.340415778846741,24.997660377025603,0.01,0.01,0.01921135898541846
1.6337312194681175,2.9834423342609475,0.14772400890350343,2.1624005079269404,0.01,0.01,0.04096234692199346
0.31085809745788573,2.8445682542562483,0.6108384234213828,21.220359566211695,0.01,0.01,0.0319796439773045
2.3573495593118676,1.3313239358234457,0.10260723155975349,1.80251769542694,0.01,0.01,0.01817678704429593
0.2686683895111084,4.267381966412066,2.06515006762743,24.077190601825716,0.01,0.01,0.0528005868648892
1.545842352280618,1.9275045022297124,0.12194299327850344,2.1429473829269403,0.01,0.01,0.02328829650172671
0.7816819823360444,2.174663816688061,0.42607238004446024,6.491484270095824,0.01,0.01,0.08211965708497246
0.1965434434890747,5.4793206160163885,2.049480411229134,23.920694105625152,0.01,0.01,0.00121987614379631
0.7816819823360444,2.174663816688061,0.42607238004446024,6.472031145095824,0.01,0.01,0.00630219579933294
