cycle,converged,status,neg2ll,nspp,gamlam.0,ke0.mean,ke0.median,ke0.sd,v0.mean,v0.median,v0.sd
1,false,In progress,12699.67837721922,95,1.10000,0.9425531881733943,0.7994130760431291,0.30933141090548166,1.057964026472192,1.0351990088343621,0.04523285511483112
2,false,In progress,8870.144526008244,95,1.32000,0.9396515936119514,0.7994130760431291,0.3073373669504414,1.0588864820617119,1.0351990088343621,0.04511846425470028
3,false,In progress,4824.456060610838,95,1.84800,0.9400285897443169,0.7994130760431291,0.3075668281283364,1.0585745768894144,1.0351990088343621,0.04514268075985957
4,false,In progress,2313.0715713345503,93,3.32640,0.9358438410105243,0.7994130760431291,0.30950750285384226,1.0541816144967076,1.026001518368721,0.044708436403848216
5,false,In progress,2116.074657969896,89,8.64864,0.9551191816615703,0.8651685605446499,0.31435386112942515,1.0545399841708007,1.0351990088343621,0.04483899466567608
6,false,In progress,2112.7095879525973,58,8.64864,0.9487769488973181,0.9094671790798506,0.33565399539266794,1.0566891683285398,1.0335712873756886,0.057690599627053835
7,false,In progress,2112.0552234492434,55,8.64864,0.9776814794865522,0.9559743771950405,0.33750833162038113,1.0441514779407326,1.0071902794122696,0.05751103055483252
8,false,In progress,2027.2232154367252,55,4.80480,0.9776814794865522,0.9559743771950405,0.33750833162038113,1.0441514779407326,1.0071902794122696,0.05751103055483252
9,false,In progress,2003.5673815434327,72,4.80480,0.9637506538325992,0.9513676255941392,0.3117908186337396,1.044273142397139,1.0090188584804536,0.048509502135265226
10,false,In progress,2000.7950495582847,73,4.80480,0.9612190386530471,0.9467608739932379,0.31110922898566223,1.0487102659504381,1.0108474375486374,0.04927592957198393
11,false,In progress,2000.6911332109069,73,4.80480,0.9612874864824288,0.9467608739932379,0.31117581687997853,1.0486037177693026,1.0108474375486374,0.04923631808231687
12,false,In progress,1973.8965324416022,73,5.76576,0.9612874864824288,0.9467608739932379,0.31117581687997853,1.0486037177693026,1.0108474375486374,0.04923631808231687
13,false,In progress,1973.8965331914605,65,5.76576,1.0002629062304131,0.9595500906308494,0.3181721943028031,1.0496974918841213,1.0108474375486374,0.05058177507190821
14,false,In progress,1968.0064772725095,69,5.76576,0.9487517804684849,0.8721734841664633,0.32746779276358745,1.0467148907211894,1.0071902794122696,0.049179773212113385
15,false,In progress,1967.4595564879876,70,5.76576,0.9533120915776211,0.9094671790798506,0.3233122560609014,1.0505029875001903,1.0090188584804536,0.05004860624356816
16,false,In progress,1965.7615885088876,70,5.49120,0.9533120915776211,0.9094671790798506,0.3233122560609014,1.0505029875001903,1.0090188584804536,0.05004860624356816
