id,time,block
id0,0,0
id0,0.2,0
id0,0.4,0
id0,0.6000000000000001,0
id0,0.8,0
id0,1,0
id1,0,0
id1,0.2,0
id1,0.4,0
id1,0.6000000000000001,0
id1,0.8,0
id1,1,0
id10,0,0
id10,0.2,0
id10,0.4,0
id10,0.6000000000000001,0
id10,0.8,0
id10,1,0
id11,0,0
id11,0.2,0
id11,0.4,0
id11,0.6000000000000001,0
id11,0.8,0
id11,1,0
id12,0,0
id12,0.2,0
id12,0.4,0
id12,0.6000000000000001,0
id12,0.8,0
id12,1,0
id13,0,0
id13,0.2,0
id13,0.4,0
id13,0.6000000000000001,0
id13,0.8,0
id13,1,0
id14,0,0
id14,0.2,0
id14,0.4,0
id14,0.6000000000000001,0
id14,0.8,0
id14,1,0
id15,0,0
id15,0.2,0
id15,0.4,0
id15,0.6000000000000001,0
id15,0.8,0
id15,1,0
id16,0,0
id16,0.2,0
id16,0.4,0
id16,0.6000000000000001,0
id16,0.8,0
id16,1,0
id17,0,0
id17,0.2,0
id17,0.4,0
id17,0.6000000000000001,0
id17,0.8,0
id17,1,0
id18,0,0
id18,0.2,0
id18,0.4,0
id18,0.6000000000000001,0
id18,0.8,0
id18,1,0
id19,0,0
id19,0.2,0
id19,0.4,0
id19,0.6000000000000001,0
id19,0.8,0
id19,1,0
id2,0,0
id2,0.2,0
id2,0.4,0
id2,0.6000000000000001,0
id2,0.8,0
id2,1,0
id20,0,0
id20,0.2,0
id20,0.4,0
id20,0.6000000000000001,0
id20,0.8,0
id20,1,0
id21,0,0
id21,0.2,0
id21,0.4,0
id21,0.6000000000000001,0
id21,0.8,0
id21,1,0
id22,0,0
id22,0.2,0
id22,0.4,0
id22,0.6000000000000001,0
id22,0.8,0
id22,1,0
id23,0,0
id23,0.2,0
id23,0.4,0
id23,0.6000000000000001,0
id23,0.8,0
id23,1,0
id24,0,0
id24,0.2,0
id24,0.4,0
id24,0.6000000000000001,0
id24,0.8,0
id24,1,0
id25,0,0
id25,0.2,0
id25,0.4,0
id25,0.6000000000000001,0
id25,0.8,0
id25,1,0
id26,0,0
id26,0.2,0
id26,0.4,0
id26,0.6000000000000001,0
id26,0.8,0
id26,1,0
id27,0,0
id27,0.2,0
id27,0.4,0
id27,0.6000000000000001,0
id27,0.8,0
id27,1,0
id28,0,0
id28,0.2,0
id28,0.4,0
id28,0.6000000000000001,0
id28,0.8,0
id28,1,0
id29,0,0
