cycle,converged,status,neg2ll,nspp,gamlam.0,gamlam.1,gamlam.2,cls.mean,cls.median,cls.sd,k30.mean,k30.median,k30.sd,k40.mean,k40.median,k40.sd,qs.mean,qs.median,qs.sd,vps.mean,vps.median,vps.sd,vs.mean,vs.median,vs.sd,fm1.mean,fm1.median,fm1.sd,fm2.mean,fm2.median,fm2.sd,theta1.mean,theta1.median,theta1.sd,theta2.mean,theta2.median,theta2.sd
1,false,Continue,3261.31237870844,13,4.54545,4.54545,4.54545,0.10386991867652308,0.11093111038208009,0.0043058057964698885,0.20942403719975397,0.21989953517913818,0.009674081590070443,1.1955223890451285,1.3296143531799316,0.06390616008306718,0.29774006054951596,0.27473580837249756,0.011403742636556531,1.9308756864987886,1.2100642919540405,2.20123886667646,0.8792221546173096,0.6920168399810791,0.3176119750031603,0.08121459484100343,0.07238001823425293,0.0013295748288589002,0.03719749175585233,0.03355294466018677,0.0002242287408116102,-1.618239659529466,-1.5924134254455566,1.4670462482438085,-0.2453472797687237,-0.14403295516967773,0.20731577487052177
2,false,Continue,3162.152849589755,14,3.78788,3.78788,3.78788,0.0925512967790876,0.08061683177947998,0.0036541600825137003,0.2194647252559662,0.21989953517913818,0.007430893173841638,1.1476051936830793,1.224613094329834,0.05570206089247631,0.3062819131783077,0.30355092883110046,0.013182690787198411,1.4636128629956926,0.917060375213623,2.0123501955581053,0.7417047023773193,0.6026906967163086,0.24656441488531738,0.0785087547983442,0.07642161846160889,0.0010324930959663395,0.029732286419187272,0.026070603132247926,0.00010963647433345979,-1.7539780787059238,-1.7118500471115112,1.7018005705636257,-0.3200062300477709,-0.20671766996383667,0.18300186837171115
3,false,Continue,3066.40842785774,16,2.70563,2.70563,2.70563,0.08745372653007508,0.06678969860076905,0.0036989348881366823,0.2452422171831131,0.2408264994621277,0.009005643073885163,1.2037320148944857,1.272010703086853,0.036437060497469406,0.286456561088562,0.30355092883110046,0.010403172400891685,1.427594169974327,0.917060375213623,2.17761119755526,0.7100306570529937,0.6026906967163086,0.23923611766630168,0.0717137834429741,0.07440081834793091,0.00040498441536403944,0.028544092774391183,0.025607665777206422,0.00007275691042261582,-1.407004028558731,-1.092391014099121,2.056975946995601,-0.40399082005023956,-0.45508435368537903,0.1637491684600653
4,false,Continue,3032.1241816713527,17,2.70563,2.70563,2.70563,0.07531189413631664,0.0645528793334961,0.004169833420969055,0.21699646711349485,0.20923926830291747,0.00782901931560728,1.2225330919377946,1.3127189540863036,0.035603556228612554,0.27819902406019326,0.2685331702232361,0.009219890530227827,2.073635255589205,1.2071812152862549,3.1002626710957455,0.7448187603670009,0.6017814636230469,0.23692887329209356,0.06929552162394803,0.06412263870239257,0.0003801853452176978,0.028898638556985295,0.026605741977691652,0.00007019403155671721,-1.6502550630008472,-1.5924134254455566,2.0969240648197065,-0.33007656125461354,-0.37872105836868286,0.15994418652945291
5,false,Continue,3014.194088469785,17,1.93259,2.70563,2.70563,0.06893247772665587,0.054563493728637696,0.004136810102526229,0.21256726629593792,0.20923926830291747,0.0072180448406318955,1.2289681215847235,1.3127189540863036,0.02506387645106966,0.26174433932584873,0.2649712562561035,0.013078347929031989,2.2517955162945915,1.847853660583496,3.6693181297913515,0.7618558070238898,0.6017814636230469,0.22619914962136192,0.06829318186816047,0.06412263870239257,0.00038208660338178997,0.028489979575662055,0.026605741977691652,0.00006899126734732741,-1.3232169235453886,-1.5924134254455566,2.6502135890745904,-0.3438817437957315,-0.37872105836868286,0.15772632100629685
6,false,Continue,2867.7914492628915,19,1.93259,2.25469,2.25469,0.06603177586869217,0.03583619538194813,0.00564976908177923,0.19426373064681796,0.19395283695840998,0.005521905648835708,1.4012982746028146,1.390171768865443,0.052745665251597594,0.2538799540088827,0.22039636449840785,0.017213118526809942,2.09613407808966,0.9909447171613821,4.3871648334856355,0.6642085998574744,0.5271691524312302,0.17586317987266648,0.059773813195739954,0.056938008032999116,0.0003334711100177383,0.028888214887495052,0.029136517911132635,0.000038934233382435383,-1.1977470351133277,-1.3252783842877074,1.7251320527826985,-0.28778723812426915,-0.29562475718094505,0.14802253126702952
7,false,Continue,2809.756009352899,20,1.38042,1.61049,2.25469,0.06436863717564509,0.03559226595641184,0.005676240533394355,0.185320894540409,0.18853693777438862,0.00854110511100347,1.6163453340498584,1.5725224489387029,0.13064538634865058,0.23141193613940203,0.22038203899297337,0.013238555221730052,2.0973506962156394,0.9873093110619913,4.106463593175868,0.6400520073345088,0.5272438353034747,0.1785632637782371,0.05604935062073463,0.05611138385389562,0.00024458211782939134,0.031637928397099425,0.03201744474332899,0.00004170740554479899,-1.226341660163841,-1.0366981546137812,1.7343081662049418,-0.3482523352975342,-0.24723368798896508,0.20681198032524914
8,false,Continue,2779.205352697072,22,1.38042,1.61049,1.87891,0.058895028603171834,0.021983255952096836,0.005448524872945508,0.18753652371322607,0.18660718969245982,0.008725182611139356,1.6934406043708912,1.5787889188516049,0.1776852959275724,0.21544621608889425,0.19708283947464109,0.012572730956315043,2.4080605954229704,1.057938769633911,4.539243685309505,0.6219883142131908,0.551752588071634,0.15666180699549087,0.054561589614575065,0.04985415817485371,0.00026126809059892565,0.033045760725113255,0.0326583846827565,0.00006278906498500231,-1.0057447016203174,-0.7561874498095029,1.8567401287852268,-0.28605153105655967,-0.24833467523587455,0.16626851588722114
9,false,Continue,2765.595233574818,22,1.38042,1.61049,1.87891,0.05872288936716323,0.021234764670419095,0.005821736643507526,0.19849786998904498,0.18788303574026743,0.016337598365961752,1.7545933435313812,1.6573441988421282,0.32040202327904416,0.22562622571486496,0.208574471194652,0.02401321146313363,2.4321065769335166,1.0643179539211334,4.923105062891417,0.6140328756960232,0.5321916006562887,0.16126690194456922,0.055012136407160045,0.04967063084111677,0.0003085575301459456,0.03387646625862534,0.03481495708192513,0.00009255084294399556,-1.1180954450421192,-0.6134689619003812,2.2155476326743555,-0.2651847386527081,-0.21347726384538027,0.14638561685052437
10,false,Continue,2756.905392493793,22,1.38042,1.61049,1.87891,0.05789887431072602,0.02114873121922376,0.006023155044304897,0.18966419433528509,0.18694169228404456,0.011794254745028477,1.819493745843043,1.7202021796121496,0.4026908482177952,0.22657560653478834,0.20905539391792127,0.026600421480579003,2.6033401789719957,1.063950773860574,6.8701493535212235,0.6091581031287912,0.5224466834506678,0.16311623105005554,0.053750007448930326,0.04941446687152734,0.00027048979465036364,0.03512707277044701,0.035552227378182595,0.00011104348266336025,-1.0814619787536652,-0.7979463442109029,2.1434037024049446,-0.2459790324450445,-0.23541675730302397,0.13472231243873
