ke0,kcp,kpc,v0,ske,svol,prob
0.3285612765598297,3.7516820262146,5.606672060408592,18.87483380794524,0.01,0.01,0.08144147223291523
0.18671435731410985,3.529425461027623,1.2577548207139966,24.61947673797605,0.01,0.01,0.07119868917823367
0.6095160979866981,0.79067207341671,0.1826226879930496,10.265677852630615,0.01,0.01,0.06841367354595031
0.5062864941477776,5.491538845362663,0.3353864302158356,22.62878291368484,0.01,0.01,0.05226795399881871
0.6124457268929481,0.2965404327917101,0.14395116455554963,7.303939571380611,0.01,0.01,0.05078090368900009
0.280961601626873,5.326332591564655,0.7095481583762168,23.65157987833023,0.01,0.01,0.07883426263967741
3.232425517525675,1.948930921485427,0.10306723218441008,0.5769797253608703,0.01,0.01,0.04285963956710676
0.31460012142419824,0.3223212140417096,0.07305337158679964,10.426166133880628,0.01,0.01,0.04487950365093082
0.36387179241180423,2.237687918825149,2.3613191357159615,22.920301954746243,0.01,0.01,0.0459236813893511
0.6095160979866981,1.6070634796667105,0.19766161377429964,8.155013790130615,0.01,0.01,0.05197373103309471
0.22739597870111464,1.8149404354143144,0.1100333305835724,23.960912942886353,0.01,0.01,0.03611727683699603
3.756058180687427,4.0716703954935065,0.7735252235889435,2.507422173023224,0.01,0.01,0.03368410081882177
0.4786346643447876,5.4613060118818275,2.9566168540191655,24.996366193294524,0.01,0.01,0.0297725642491746
0.18787769750356673,2.837346519908905,3.042021975696087,21.659756314754485,0.01,0.01,0.02714502901513003
0.6095160979866981,0.3223212140417099,0.11172489502429962,10.863861446380614,0.01,0.01,0.02704872147683141
0.1364723421168327,0.08322022951364517,0.05895096931219096,9.491146290302758,0.01,0.01,0.02702702702708826
0.6095160979866981,0.32232121404170994,0.19766161377429964,8.349545040130614,0.01,0.01,0.05947891808540665
0.280961601626873,5.4552364978146555,1.2788789200949668,24.312986128330227,0.01,0.01,0.03720422297284155
0.4883041324734688,2.976769369900227,2.940941165685654,7.958960983753204,0.01,0.01,0.05112153929648874
0.34326044164657593,2.9160567892265323,0.19757349506855013,15.504157807826978,0.01,0.01,0.01283197296275452
0.34521352758407586,1.224193019695282,0.16319880756855012,21.05316171407708,0.01,0.01,0.02449316168604539
0.2977119599342346,5.295167439181806,8.869276582074162,15.795592548847198,0.01,0.01,0.0143483629834667
0.34521352758407586,1.418623078289032,0.16319880756855012,20.96562265157708,0.01,0.01,0.03115359166387538
